dest room,bill room,date,time,#orders,menu id
L0,L0,16-02-09,10:15:00 AM,3,6
restaurant,L0,16-02-07,11:35:00 AM,5,8
L0,L0,16-03-17,6:54:00 AM,5,12
restaurant,L0,16-03-15,5:53:00 PM,4,7
L0,L0,16-03-16,2:54:00 PM,5,7
restaurant,L0,16-03-15,7:32:00 PM,1,11
restaurant,N1,16-03-16,7:52:00 AM,1,9
N2,N2,16-03-22,10:04:00 AM,2,8
L1,L1,16-02-08,1:17:00 PM,1,2
S61,S61,16-03-04,10:34:00 PM,3,10
S62,S62,16-03-05,1:36:00 AM,3,10
restaurant,L1,16-03-26,2:08:00 AM,4,0
restaurant,L2,16-03-24,4:01:00 PM,4,9
L2,L2,16-03-23,8:58:00 AM,1,0
restaurant,L2,16-03-22,2:12:00 AM,5,14
restaurant,L0,16-03-06,1:40:00 AM,5,5
restaurant,L0,16-03-05,10:10:00 AM,3,6
restaurant,L1,16-01-03,6:33:00 AM,1,11
S0,S0,16-01-13,7:28:00 AM,5,14
S2,S2,16-01-14,2:43:00 AM,5,6
D2,D2,16-03-04,7:31:00 PM,1,1
restaurant,D3,16-03-06,11:06:00 PM,5,6
L1,L1,16-01-03,12:02:00 AM,4,8
L1,L1,16-04-05,1:44:00 AM,4,10
restaurant,L1,16-04-05,3:22:00 PM,3,3
restaurant,L1,16-03-28,3:20:00 AM,4,11
restaurant,L1,16-04-02,12:09:00 AM,5,4
restaurant,L1,16-04-01,7:28:00 AM,2,0
restaurant,L1,16-04-01,1:24:00 AM,2,6
L2,L2,16-04-01,8:58:00 PM,2,7
L2,L2,16-03-31,7:44:00 AM,5,14
L2,L2,16-03-31,11:38:00 PM,1,1
restaurant,L2,16-03-28,12:23:00 AM,3,7
restaurant,L2,16-04-02,4:25:00 PM,2,15
L2,L2,16-04-03,10:21:00 AM,1,13
restaurant,S0,16-02-14,3:15:00 AM,4,13
restaurant,S0,16-02-22,7:03:00 PM,1,13
restaurant,S0,16-02-16,12:00:00 AM,5,5
S2,S2,16-02-25,12:54:00 PM,3,9
restaurant,S2,16-02-23,6:59:00 PM,4,14
L1,L1,16-03-22,11:47:00 AM,2,9
restaurant,L8,16-03-21,12:10:00 AM,3,4
restaurant,L8,16-03-22,10:18:00 PM,3,12
N0,N0,16-02-22,12:25:00 AM,3,13
restaurant,N1,16-02-23,11:24:00 PM,4,6
restaurant,L0,16-02-15,1:20:00 PM,2,12
restaurant,L0,16-02-20,2:28:00 PM,4,5
L0,L0,16-02-19,2:47:00 PM,1,14
restaurant,S2,16-01-24,9:56:00 PM,4,9
restaurant,X1,16-02-18,6:41:00 PM,3,4
L1,L1,16-03-01,10:56:00 PM,3,1
X2,X2,16-01-13,10:41:00 AM,1,14
restaurant,X3,16-01-13,1:21:00 AM,1,5
restaurant,S1,16-02-03,4:40:00 AM,5,1
D1,D1,16-02-05,11:21:00 PM,3,4
restaurant,S0,16-04-01,7:14:00 AM,4,4
restaurant,L2,16-02-08,10:38:00 AM,1,7
restaurant,L2,16-02-13,1:24:00 AM,3,11
restaurant,L2,16-02-09,7:28:00 AM,5,12
S42,S42,16-02-01,11:38:00 AM,3,3
restaurant,S43,16-02-04,12:17:00 AM,4,10
restaurant,S5,16-03-13,6:31:00 AM,3,6
restaurant,S8,16-01-12,2:02:00 PM,4,4
restaurant,S8,16-01-09,5:55:00 AM,1,6
restaurant,S9,16-01-10,3:31:00 PM,3,10
L0,L0,16-01-25,7:22:00 AM,4,2
restaurant,L0,16-01-23,2:08:00 PM,4,5
restaurant,L0,16-01-24,11:41:00 AM,2,10
S14,S14,16-03-10,12:03:00 PM,5,10
S15,S15,16-03-10,12:37:00 AM,5,13
restaurant,S16,16-03-11,6:17:00 PM,1,7
restaurant,L2,16-03-17,10:26:00 AM,4,8
restaurant,L1,16-02-17,10:57:00 PM,5,14
L3,L3,16-03-27,5:15:00 AM,1,2
restaurant,L3,16-03-27,3:47:00 AM,4,15
restaurant,D1,16-02-23,8:06:00 AM,5,12
restaurant,S4,16-01-15,8:42:00 AM,1,14
restaurant,S4,16-01-18,5:02:00 PM,5,15
S4,S4,16-01-13,1:05:00 AM,4,6
